Gene Symbol,Name,Tier,Somatic,Germline,Tumour Types(Somatic),Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types
EWSR1,Ewing sarcoma breakpoint region 1 (EWS),1,yes,No,"Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma","L, M, E",Dom,"oncogene, fusion",Translocation
EXT1,multiple exostoses type 1 gene,1,No,yes,,M,Rec,"TSG, fusion","Mis, N, F, S"
EXT2,multiple exostoses type 2 gene,1,No,yes,,M,Rec,TSG,"Mis, N, F, S"
EZH2,enhancer of zeste homolog 2,1,yes,No,DLBCL,L,Dom,"oncogene, TSG",Mis
EZR,ezrin,1,yes,No,NSCLC,E,Dom,fusion,Translocation
FAM131B,"family with sequence similarity 131, member B",2,yes,No,pilocytic astrocytoma,O,Dom,fusion,Translocation
FAM135B,family with sequence similarity 135 member B,2,yes,No,SCLC,E,NA,,Mis
FAM46C,"family with sequence similarity 46, member C",1,yes,No,MM,L,Rec,TSG,"Mis, F, O"
FAM47C,family with sequence similarity 47 member C,2,yes,No,"melanoma, clear cell sarcoma of soft parts, SCLC","E, M",NA,,Mis
FANCA,"Fanconi anemia, complementation group A",1,No,yes,,L,Rec,TSG,"D, Mis, N, F, S"
FANCC,"Fanconi anemia, complementation group C",1,No,yes,,L,Rec,TSG,"D, Mis, N, F, S"
FANCD2,"Fanconi anemia, complementation group D2",1,No,yes,,L,Rec,TSG,"D, Mis, N, F"
FANCE,"Fanconi anemia, complementation group E",1,No,yes,,L,Rec,TSG,"N, F, S"
FANCF,"Fanconi anemia, complementation group F",1,No,yes,,L,Rec,TSG,"N, F"
FANCG,"Fanconi anemia, complementation group G",1,No,yes,,L,Rec,TSG,"Mis, N, F, S"
FAS,Fas cell surface death receptor,1,yes,No,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related","L, E, O",Rec,TSG,Mis
FAT1,FAT atypical cadherin 1,1,yes,yes,"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma","E, L",NA,TSG,"Mis, N, F, S"
FAT3,FAT atypical cadherin 3,2,yes,No,"SCC, colon adenocarcinoma, gastric adenocarcinoma",E,NA,,Mis
FAT4,FAT atypical cadherin 4,1,yes,No,"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma","E, L",NA,TSG,"Mis, N"
FBLN2,fibulin 2,2,yes,No,"breast cancer, colorectal adenocarcinoma",E,NA,TSG,"Mis, S"
FBXO11,F-box protein 11,1,yes,No,DLBCL,L,Rec,TSG,"Mis, F, D"
FBXW7,"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)",1,yes,No,"colorectal, endometrial, T-ALL","E, L",Rec,TSG,"Mis, N, D, F"
FCGR2B,"Fc fragment of IgG, low affinity IIb, receptor for (CD32)",1,yes,No,ALL,L,Dom,"oncogene, fusion",Translocation
FCRL4,Fc receptor-like 4,1,yes,No,B-NHL,L,Dom,"oncogene, fusion",Translocation
FEN1,flap structure-specific endonuclease 1,2,No,yes,,E,NA,TSG,
FES,"FES proto-oncogene, tyrosine kinase",1,yes,No,"HNSCC, ovarian carcinoma",E,NA,"oncogene, TSG","Mis, F"
FEV,FEV protein - (HSRNAFEV),1,yes,No,Ewing sarcoma,M,Dom,"oncogene, fusion",Translocation
FGFR1,fibroblast growth factor receptor 1,1,yes,No,"MPN, NHL, salivary adenoma",L,Dom,"oncogene, fusion",Translocation
FGFR1OP,FGFR1 oncogene partner (FOP),1,yes,No,"MPN, NHL",L,Dom,fusion,Translocation
FGFR2,fibroblast growth factor receptor 2,1,yes,No,"gastric, NSCLC, endometrial",E,Dom,"oncogene, fusion",Mis
FGFR3,fibroblast growth factor receptor 3,1,yes,No,"bladder, MM, T-cell lymphoma","L, E",Dom,"oncogene, fusion","Mis, Translocation"
FGFR4,fibroblast growth factor receptor 4,1,yes,No,rhabdomyosarcoma,M,Dom,oncogene,Mis
FH,fumarate hydratase,1,No,yes,,"E, M",Rec,TSG,"Mis, N, F"
FHIT,fragile histidine triad gene,1,yes,No,pleomorphic salivary gland adenoma,E,Dom,"TSG, fusion",Translocation
FIP1L1,FIP1 like 1 (S. cerevisiae),1,yes,No,idiopathic hypereosinophilic syndrome,L,Dom,fusion,Translocation
FKBP9,FK506 binding protein 9,2,yes,No,glioma,O,NA,,Mis
FLCN,folliculin,1,No,yes,,"E, M",Rec,TSG,"Mis. N, F"
FLI1,Friend leukemia virus integration 1,1,yes,No,Ewing sarcoma,M,Dom,"oncogene, fusion",Translocation
FLNA,filamin A,2,yes,No,phyllodes tumour of the breast,E,NA,,"Mis, F, O"
FLT3,fms-related tyrosine kinase 3,1,yes,No,"AML, ALL",L,Dom,oncogene,"Mis, O"
FLT4,fms-related tyrosine kinase 4,1,yes,No,soft tissue sarcoma,M,Dom,oncogene,A
FNBP1,formin binding protein 1 (FBP17),2,yes,No,AML,L,Dom,fusion,Translocation
FOXA1,forkhead box A1,1,yes,No,"breast, prostate",E,Dom,oncogene,"Mis, F"
FOXL2,forkhead box L2,1,yes,No,granulosa-cell tumour of the ovary,O,Dom,"oncogene, TSG",Mis
FOXO1,forkhead box O1,1,yes,No,alveolar rhabdomyosarcoma,M,Dom,"oncogene, TSG, fusion",Translocation
FOXO3,forkhead box O3,1,yes,No,AL,L,Dom,"oncogene, TSG, fusion",Translocation
FOXO4,forkhead box O4,1,yes,No,"AL, soft tissue sarcoma","L, M",Dom,"oncogene, TSG, fusion",Translocation
FOXP1,forkhead box P1,1,yes,No,ALL,L,Dom,"oncogene, fusion",Translocation
FOXR1,forkhead box R1,2,yes,No,neuroblastoma,O,NA,"oncogene, fusion",Translocation
FSTL3,follistatin-like 3 (secreted glycoprotein),1,yes,No,B-CLL,L,Dom,"oncogene, fusion",Translocation
FUBP1,far upstream element (FUSE) binding protein 1,1,yes,No,oligodendroglioma,O,Rec,oncogene,"F, N"
FUS,"fusion, derived from t(12;16) malignant liposarcoma",1,yes,No,"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma","M, L",Dom,"TSG, fusion",Translocation
GAS7,growth arrest-specific 7,1,yes,No,AML*,L,Dom,fusion,Translocation
GATA1,GATA binding protein 1 (globin transcription factor 1),1,yes,No,megakaryoblastic leukaemia of Downs syndrome,L,Dom,"oncogene, TSG","Mis, F"
GATA2,GATA binding protein 2,1,yes,No,AML (CML blast transformation),L,Dom,oncogene,Mis
GATA3,GATA binding protein 3,1,yes,No,breast,E,Rec,"oncogene, TSG","F, N, S"
GLI1,GLI family zinc finger 1,2,yes,No,"CRC, oesophagus cancer",E,NA,"oncogene, fusion","Translocation, F"
GMPS,guanine monphosphate synthetase,2,yes,No,AML,L,Dom,fusion,Translocation
GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",1,yes,No,"uveal melanoma, primary central nervous system melanocytic neoplasms","E, O",Dom,oncogene,Mis
GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide",1,yes,No,"uveal melanoma, primary central nervous system melanocytic neoplasms","E, O",Dom,oncogene,Mis
GNAS,"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1",1,yes,No,"pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia","E, M",Dom,oncogene,Mis
GOLGA5,"golgi autoantigen, golgin subfamily a, 5  (PTC5)",1,yes,No,"papillary thyroid, Spitzoid tumour",E,Dom,fusion,Translocation
GOPC,golgi associated PDZ and coiled-coil motif containing,1,yes,No,"glioblastoma, cholangiocarcinoma, borderline ovarian","E, O",Dom,fusion,Translocation
GPC3,glypican 3,1,No,yes,,O,Rec/X,"oncogene, TSG","D, Mis, N, F, S"
GPC5,glypican 5,2,yes,No,lung adenocarcinoma,E,NA,TSG,D
GPHN,gephyrin (GPH),1,yes,No,AL,L,Dom,fusion,Translocation
GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",1,yes,No,"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma",E,Rec,TSG,"Mis, N, F, O"
GRM3,glutamate metabotropic receptor 3,2,yes,No,"melanoma, oral SCC",E,NA,oncogene,"Mis, A"
H3F3A,"H3 histone, family 3A",1,yes,No,glioma,O,Dom,oncogene,Mis
H3F3B,"H3 histone, family 3B (H3.3B)",1,yes,No,chondroblastoma,M,Dom,oncogene,Mis
HERPUD1,"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1",1,yes,No,prostate,E,Dom,fusion,Translocation
HEY1,hairy/enhancer-of-split related with YRPW motif 1,1,yes,No,mesenchymal chondrosarcoma,M,Dom,"oncogene, fusion",Translocation
HIF1A,hypoxia inducible factor 1 alpha subunit,1,yes,No,"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic","E, O",Dom,oncogene,"Mis, F, N"
HIP1,huntingtin interacting protein 1,1,yes,No,"CMML, NSCLC","L, E",Dom,"oncogene, fusion",Translocation
HIST1H3B,"histone cluster 1, H3b",1,yes,No,glioma,O,Dom,oncogene,Mis
HIST1H4I,"histone 1, H4i (H4FM)",1,yes,No,NHL,L,Dom,fusion,Translocation
HLA-A,"major histocompatibility complex, class I, A",1,yes,No,Spitzoid tumour,E,Dom,fusion,Translocation
HLF,hepatic leukemia factor,1,yes,No,ALL,L,Dom,"oncogene, fusion",Translocation
HMGA1,high mobility group AT-hook 1,1,yes,No,"microfollicular thyroid adenoma, various benign mesenchymal tumours","E, M",Dom,"oncogene, fusion",Translocation
HMGA2,high mobility group AT-hook 2 (HMGIC),1,yes,No,"lipoma, leiomyoma, pleomorphic salivary gland adenoma",M,Dom,"oncogene, fusion",Translocation
HMGN2P46,high mobility group nucleosomal binding domain 2 pseudogene 46,2,yes,No,prostate,E,Dom,fusion,Translocation
HNF1A,HNF1 homeobox A,1,yes,yes,"hepatic adenoma, hepatocellular",E,Rec,TSG,"Mis, F"
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,1,yes,No,prostate,E,Dom,"oncogene, fusion",Translocation
HOOK3,hook homolog 3,1,yes,No,papillary thyroid,E,Dom,fusion,Translocation
HOXA11,homeo box A11,1,yes,No,CML,L,Dom,"oncogene, TSG, fusion",Translocation
HOXA13,homeo box A13,1,yes,No,AML,L,Dom,"oncogene, fusion",Translocation
HOXA9,homeo box A9,1,yes,No,AML*,L,Dom,"oncogene, TSG, fusion",Translocation
HOXC11,homeo box C11,1,yes,No,AML,L,Dom,"oncogene, fusion",Translocation
HOXC13,homeo box C13,1,yes,No,AML,L,Dom,"oncogene, fusion",Translocation
HOXD11,homeo box D11,1,yes,No,AML,L,Dom,"oncogene, fusion",Translocation
HOXD13,homeo box D13,1,yes,No,AML*,L,Dom,"oncogene, fusion",Translocation
HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,1,yes,yes,"infrequent sarcomas, rare other tumour types","E, L, M",Dom,oncogene,Mis
HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",1,yes,No,NHL,L,Dom,fusion,Translocation
HSP90AB1,"heat shock protein 90kDa alpha (cytosolic), class B member 1",1,yes,No,NHL,L,Dom,fusion,Translocation
ID3,"inhibitor of DNA binding 3, HLH protein",2,yes,No,Burkitt lymphoma,L,NA,TSG,"Mis, N"
IDH1,"isocitrate dehydrogenase 1 (NADP+), soluble",1,yes,No,glioblastoma,O,Dom,oncogene,Mis
IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",1,yes,No,glioblastoma,O,Dom,oncogene,Mis
IGF2BP2,insulin like growth factor 2 mRNA binding protein 2,2,yes,No,lymphoma,L,NA,TSG,D
IGH,immunoglobulin heavy locus,1,yes,No,"MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS",L,Dom,fusion,Translocation
IGK,immunoglobulin kappa locus,1,yes,No,"Burkitt lymphoma, B-NHL",L,Dom,fusion,Translocation
IGL,immunoglobulin lambda locus,1,yes,No,Burkitt lymphoma,L,Dom,fusion,Translocation
IKBKB,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta",1,yes,No,SMZL,L,Dom,oncogene,Mis
IKZF1,IKAROS family zinc finger 1,1,yes,No,"ALL, DLBCL",L,Dom/Rec,"TSG, fusion","D,Translocation"
IL2,interleukin 2,1,yes,No,intestinal T-cell lymphoma,L,Dom,fusion,Translocation
IL21R,interleukin 21 receptor,1,yes,No,NHL,L,Dom,fusion,Translocation
IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",1,yes,No,hepatocellular carcinoma,E,Dom,oncogene,O
IL7R,interleukin 7 receptor,1,yes,No,"ALL, ETP ALL",L,Dom,oncogene,"Mis, O"
IRF4,interferon regulatory factor 4,1,yes,No,MM,L,Dom,"oncogene, TSG, fusion",Translocation
IRS4,insulin receptor substrate 4,1,yes,No,"glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL","E, O, M, L",NA,"oncogene, TSG","Mis, F, Translocation"
ISX,intestine specific homeobox,2,yes,No,melanoma,E,NA,,Mis
ITGAV,integrin subunit alpha V,2,yes,No,large intestine carcinoma,E,NA,,F
ITK,IL2-inducible T-cell kinase,1,yes,No,peripheral T-cell lymphoma,L,Dom,fusion,Translocation
JAK1,Janus kinase 1,1,yes,No,ALL,L,Dom,"oncogene, TSG",Mis
JAK2,Janus kinase 2,1,yes,No,"ALL, AML, MPN,  CML",L,Dom,"oncogene, fusion","Translocation, Mis, O"
JAK3,Janus kinase 3,1,yes,No,"acute megakaryocytic leukaemia, ETP ALL",L,Dom,oncogene,Mis
JAZF1,juxtaposed with another zinc finger gene 1,2,yes,No,endometrial stromal tumour,M,Dom,fusion,Translocation
JUN,jun oncogene,1,yes,No,sarcoma,M,Dom,oncogene,A
KAT6A,K(lysine) acetyltransferase 6A,1,yes,No,AML,L,Dom,"oncogene, fusion","Translocation, A"
KAT6B,K(lysine) acetyltransferase 6B,1,yes,No,"AML, leiomyoma","L, M",Dom,"TSG, fusion",Translocation
KAT7,lysine acetyltransferase 7,2,yes,No,CCRCC,E,NA,oncogene,Mis
KCNJ5,potassium inwardly-rectifying channel; subfamily J; member 5,1,yes,No,adrenal adenoma,E,Dom,oncogene,Mis
KDM5A,"lysine (K)-specific demethylase 5A, JARID1A",1,yes,No,AML,L,Dom,"oncogene, fusion",Translocation
KDM5C,lysine (K)-specific demethylase 5C (JARID1C),1,yes,No,clear cell renal carcinoma,E,Rec,TSG,"N, F, S, Mis"
KDM6A,"lysine (K)-specific demethylase 6A, UTX",1,yes,No,"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types","E, L",Rec,"oncogene, TSG","D, N, F, S"
KDR,vascular endothelial growth factor receptor 2,1,yes,yes,"NSCLC, angiosarcoma",E,Dom,oncogene,Mis
KDSR,3-ketodihydrosphingosine reductase,1,yes,No,B-NHL,L,Dom,fusion,Translocation
KEAP1,kelch like ECH associated protein 1,1,yes,No,"NSCLC, breast carcinoma",E,NA,TSG,"Mis, N, F"
KIAA1549,KIAA1549,2,yes,No,pilocytic astrocytoma,O,Dom,fusion,Translocation
KIAA1598,KIAA1598,2,yes,No,Spitzoid tumour,E,Dom,fusion,Translocation
KIF5B,kinesin family member 5B,1,yes,No,"NSCLC, Spitzoid tumour",E,Dom,fusion,Translocation
KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,1,yes,yes,"GIST, AML, TGCT, mastocytosis, mucosal melanoma","L, M, O, E",Dom,oncogene,"Mis, O"
KLF4,Kruppel-like factor 4,1,yes,No,meningioma,O,Dom,"oncogene, TSG",Mis
KLF6,Kruppel-like factor 6,1,yes,No,"prostate, glioma","E, O",Rec,TSG,"Mis, N"
KLK2,kallikrein-related peptidase 2,1,yes,No,prostate,E,Dom,fusion,Translocation
KMT2A,lysine (K)-specific methyltransferase 2A,1,yes,No,"AML, ALL",L,Dom,"oncogene, fusion","Translocation, O"
KMT2C,lysine (K)-specific methyltransferase 2C,1,yes,No,medulloblastoma,O,Rec,TSG,N
KMT2D,lysine (K)-specific methyltransferase 2D,1,yes,No,"medulloblastoma, renal","O, E",Rec,"oncogene, TSG","N, F, Mis"
KNSTRN,kinetochore localized astrin/SPAG5 binding protein,2,yes,No,SCC,E,NA,oncogene,Mis
KRAS,v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog,1,yes,No,"pancreatic, colorectal, lung, thyroid, AML, other tumour types","L, E, M, O",Dom,oncogene,Mis
KTN1,kinectin 1 (kinesin receptor),1,yes,No,papillary thyroid,E,Dom,fusion,Translocation
LARP4B,La ribonucleoprotein domain family member 4B,2,yes,No,"CRC, glioma","E, O",NA,TSG,"F, D"
LASP1,LIM and SH3 protein 1,1,yes,No,AML,L,Dom,fusion,Translocation
LATS1,large tumor suppressor kinase 1,1,yes,No,skin basal cell carcinoma,E,NA,TSG,"Mis, N"
LATS2,large tumor suppressor kinase 2,1,yes,No,malignant mesothelioma,E,NA,TSG,"D, F, N"
LCK,lymphocyte-specific protein tyrosine kinase,1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
LCP1,lymphocyte cytosolic protein 1 (L-plastin),2,yes,No,NHL,L,Dom,fusion,Translocation
LEF1,lymphoid enhancer binding factor 1,1,yes,No,"B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas","L, E",NA,"oncogene, TSG","Mis, N"
LEPROTL1,leptin receptor overlapping transcript like 1,2,yes,No,"lung cancer, colon cancer",E,NA,TSG,D
LHFP,lipoma HMGIC fusion partner,2,yes,No,lipoma,M,Dom,fusion,Translocation
LIFR,leukemia inhibitory factor receptor,1,yes,No,salivary adenoma,E,Dom,fusion,Translocation
LMNA,lamin A/C,1,yes,No,Spitzoid tumour,E,Dom,fusion,Translocation
LMO1,LIM domain only 1 (rhombotin 1) (RBTN1),1,yes,yes,"T-ALL, neuroblastoma",L,Dom,"oncogene, fusion","Translocation, A"
LMO2,LIM domain only 2 (rhombotin-like 1) (RBTN2),1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
LPP,LIM domain containing preferred translocation partner in lipoma,1,yes,No,"lipoma, leukaemia","L, M",Dom,"oncogene, fusion",Translocation
LRIG3,leucine-rich repeats and immunoglobulin-like domains 3,1,yes,No,NSCLC,E,Dom,"TSG, fusion",Translocation
LRP1B,LDL receptor related protein 1B,1,yes,No,"CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer","E, L",Rec,TSG,"D, Mis, N, F"
LSM14A,"LSM14A, SCD6 homolog A (S. cerevisiae)",2,yes,No,Spitzoid tumour,E,Dom,fusion,Translocation
LYL1,lymphoblastic leukemia derived sequence 1,1,yes,No,T-ALL,L,Dom,"oncogene, fusion",Translocation
LZTR1,leucine-zipper-like transcription regulator 1,1,yes,yes,glioblastoma,E,Dom,TSG,"Mis, F, N"
MACC1,MET transcriptional regulator MACC1,2,yes,No,"liver, CRC",E,NA,oncogene,Mis
MAF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog,1,yes,No,MM,L,Dom,"oncogene, fusion",Translocation
MAFB,v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian),1,yes,No,MM,L,Dom,"oncogene, fusion",Translocation
MALAT1,metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding),2,yes,No,"renal cell carcinoma (childhood epithelioid), lung",E,Dom,"oncogene, TSG, fusion",Translocation
MALT1,mucosa associated lymphoid tissue lymphoma translocation gene 1,1,yes,No,MALT,L,Dom,"oncogene, fusion",Translocation
MAML2,mastermind-like 2 (Drosophila),1,yes,No,salivary gland mucoepidermoid,E,Dom,"oncogene, fusion",Translocation
MAP2K1,mitogen-activated protein kinase kinase 1,1,yes,No,"NSCLC, melanoma, colorectal",E,Dom,oncogene,Mis
MAP2K2,mitogen-activated protein kinase kinase 2,1,yes,No,"NSCLC, melanoma",E,Dom,oncogene,Mis
MAP2K4,mitogen-activated protein kinase kinase 4,1,yes,No,"pancreatic, breast, colorectal",E,Rec,"oncogene, TSG","D, Mis, N"
MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",1,yes,No,luminal A breast,E,Rec,"oncogene, TSG","N, F, Mis, O, S"
MAP3K13,mitogen-activated protein kinase kinase kinase 13,1,yes,No,breast,E,Rec,"oncogene, TSG",F
MAPK1,mitogen-activated protein kinase 1,1,yes,No,"CLL, ovarian mixed germ cell tumour, cervical carcinoma","E, L",Dom,oncogene,Mis
MAX,Myc associated factor X,1,yes,yes,"pheochromocytoma, endometrioid carcinoma, colon carcinoma","E, O",Rec,TSG,"Mis, N, F"
MB21D2,Mab-21 domain containing 2,2,yes,No,lung cancer,E,NA,,Mis
MDM2,Mdm2 p53 binding protein homolog,1,yes,No,"sarcoma, glioma, colorectal, other tumour types","M, O, E, L",Dom,oncogene,A
MDM4,Mdm4 p53 binding protein homolog,1,yes,No,"glioblastoma, bladder, retinoblastoma",M,Dom,oncogene,A
MDS2,myelodysplastic syndrome 2,2,yes,No,MDS,L,Dom,fusion,Translocation
MECOM,MDS1 and EVI1 complex locus,1,yes,No,"AML, CML, MDS",L,Dom,"oncogene, fusion",Translocation
MED12,mediator complex subunit 12,1,yes,No,"uterine leiomyoma, fibroadenoma, phyllodes tumour","M, E",Dom,TSG,"Mis, S, O"
MEN1,multiple endocrine neoplasia type 1 gene,1,yes,yes,"parathyroid tumours, pancreatic neuroendocrine tumour",E,Rec,TSG,"D, Mis, N, F, S"
MET,met proto-oncogene (hepatocyte growth factor receptor),1,yes,No,"papillary renal, head-neck squamous cell",E,Dom,oncogene,Mis
MGMT,O-6-methylguanine-DNA methyltransferase,2,yes,No,glioma,O,NA,TSG,D
MITF,melanogenesis-associated transcription factor,1,yes,No,melanoma,E,Dom,oncogene,A
MKL1,megakaryoblastic leukemia (translocation) 1,1,yes,No,acute megakaryocytic leukaemia,L,Dom,"oncogene, TSG, fusion",Translocation
MLF1,myeloid leukemia factor 1,1,yes,No,AML,L,Dom,"TSG, fusion",Translocation
MLH1,E.coli MutL homolog gene,1,yes,yes,"colorectal, endometrial, ovarian, CNS tumours","E, O",Rec,TSG,"D, Mis, N, F, S"
MLLT1,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)",1,yes,No,AL,L,Dom,fusion,Translocation
MLLT10,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)",1,yes,No,AL,L,Dom,"oncogene, fusion",Translocation
MLLT11,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",1,yes,No,ALL,L,Dom,fusion,Translocation
MLLT3,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)",1,yes,No,ALL,L,Dom,fusion,Translocation
MLLT4,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)",1,yes,No,AL,L,Dom,"oncogene, fusion",Translocation
MLLT6,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)",1,yes,No,AL,L,Dom,fusion,Translocation
MN1,"MN1 proto-oncogene, transcriptional regulator",1,yes,No,"AML, MDS",L,Dom,"oncogene, fusion",Translocation
MNX1,motor neuron and pancreas homeobox 1,2,yes,No,AML,L,Dom,fusion,Translocation
MPL,"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor",1,yes,yes,MPN,L,Dom,oncogene,Mis
MSH2,mutS homolog 2 (E. coli),1,yes,yes,"colorectal, endometrial, ovarian",E,Rec,TSG,"D, Mis, N, F, S"
MSH6,mutS homolog 6 (E. coli),1,yes,yes,colorectal,E,Rec,TSG,"Mis, N, F, S"
MSI2,musashi homolog 2 (Drosophila),1,yes,No,CML,L,Dom,"oncogene, fusion",Translocation
MSN,moesin,1,yes,No,ALCL,L,Dom,fusion,Translocation
MTCP1,mature T-cell proliferation 1,1,yes,No,T cell prolymphocytic leukaemia,L,Dom,"oncogene, fusion",Translocation
MTOR,mechanistic target of rapamycin,1,yes,No,"endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types",E,Dom,oncogene,"Mis, N"
MUC1,"mucin 1, transmembrane",1,yes,No,B-NHL,L,Dom,fusion,Translocation
MUC16,"mucin 16, cell surface associated",2,yes,No,"HNSCC, melanoma",E,NA,oncogene,Mis
MUC4,"mucin 4, cell surface associated",2,yes,No,HNSCC,E,NA,oncogene,"Mis, O"
MUTYH,mutY homolog (E. coli),1,No,yes,,E,Rec,TSG,Mis
MYB,v-myb myeloblastosis viral oncogene homolog,1,yes,No,adenoid cystic carcinoma,E,Dom,"oncogene, fusion",Translocation
MYC,v-myc myelocytomatosis viral oncogene homolog (avian),1,yes,No,"Burkitt lymphoma, amplified in other cancers, B-CLL","L, E",Dom,"oncogene, fusion","A, Translocation"
MYCL,v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog,1,yes,No,small cell lung carcinoma,E,Dom,oncogene,A
MYCN,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",1,yes,No,"neuroblastoma, Wilms tumour",O,Dom,oncogene,"A, Mis"
MYD88,myeloid differentiation primary response gene (88),1,yes,No,ABC-DLBCL,L,Dom,oncogene,Mis
MYH11,"myosin, heavy polypeptide 11, smooth muscle",1,yes,No,AML,L,Dom,fusion,Translocation
MYH9,"myosin, heavy polypeptide 9, non-muscle",1,yes,No,ALCL,L,Dom,"TSG, fusion",Translocation
MYO5A,"myosin VA (heavy chain 12, myoxin)",1,yes,No,Spitzoid tumour,E,Dom,fusion,Translocation
MYOD1,myogenic differentiation 1,1,yes,No,embryonal rhabdomyosarcoma,M,Dom,oncogene,Mis
N4BP2,NEDD4 binding protein 2,2,yes,No,lung cancer,E,NA,TSG,D
NAB2,NGFI-A binding protein 2,1,yes,No,"solitary fibrous tumour, meningeal haemangiopericytoma","M, O",Dom,"TSG, fusion",Translocation
NACA,nascent-polypeptide-associated complex alpha polypeptide,2,yes,No,NHL,L,Dom,fusion,Translocation
NBEA,neurobeachin,2,yes,No,"large intestine carcinoma, multiple myeloma","E, L",NA,,"F, Translocation"
NBN,nibrin,1,No,yes,,"L, E, M, O",Rec,TSG,"Mis, N, F"
NCKIPSD,NCK interacting protein with SH3 domain,2,yes,No,ALL,L,Dom,fusion,Translocation
NCOA1,nuclear receptor coactivator 1,1,yes,No,alveolar rhabdomyosarcoma,M,Dom,fusion,Translocation
NCOA2,nuclear receptor coactivator 2 (TIF2),1,yes,No,"AML, chondrosarcoma, rhabdomyosarcoma","L, M",Dom,"oncogene, fusion",Translocation
NCOA4,nuclear receptor coactivator 4 - PTC3 (ELE1),1,yes,No,papillary thyroid,E,Dom,"TSG, fusion",Translocation
NCOR1,nuclear receptor corepressor 1,1,yes,No,breast,E,Rec,TSG,"Mis, F, N, O"
NCOR2,nuclear receptor corepressor 2,1,yes,No,prostate,E,Dom,TSG,"Mis, F, N, O"
NDRG1,N-myc downstream regulated 1,1,yes,No,prostate,E,Dom,"TSG, fusion",Translocation
NF1,neurofibromatosis type 1 gene,1,yes,yes,"neurofibroma, glioma",O,Rec,"TSG, fusion","D, Mis, N, F, S, O"
NF2,neurofibromatosis type 2 gene,1,yes,yes,"meningioma, acoustic neuroma, renal",O,Rec,TSG,"D, Mis, N, F, S, O"
NFATC2,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2",1,yes,No,Ewing sarcoma,M,Dom,"oncogene, fusion",Translocation
